,n6.n3,PUFA.Total.FA,PUFA.MUFA,n6FA.Total.FA,LA.Total.FA,n3FA,DHA,n3FA.Total.FA,DHA.Total.FA,PUFA,n6FA,LA,MUFA,MUFA.Total.FA
n6.n3,0.0,0.7868,0.7374,1.1254e-08,5.0229e-11,0.0,7.6467e-121,0.0,3.3287e-16,1.2076e-10,0.0002,0.0044,0.0002,0.6451
PUFA.Total.FA,0.7868,0.0,0.0,9.1587e-30,2.3133e-26,0.0229,0.0067,0.0007,1.7066e-119,0.0192,1.9895e-05,4.2241e-07,5.3916e-157,0.0
PUFA.MUFA,0.7374,0.0,NA,6.9682e-185,1.4829e-15,0.0116,0.007,0.0016,4.0794e-141,2.9381e-07,4.0475e-08,4.1556e-09,1.2902e-240,0.0
n6FA.Total.FA,1.1254e-08,9.1587e-30,6.9682e-185,0.0,1.0750e-100,2.8684e-20,0.1414,0.1333,5.3726e-14,2.6328e-10,5.0324e-07,7.5634e-06,1.3461e-110,8.5838e-186
LA.Total.FA,5.0229e-11,2.3133e-26,1.4829e-15,1.0750e-100,0.0,1.2671e-06,0.2635,0.0071,0.0341,0.1899,0.5165,0.9045,5.1524e-08,9.8587e-11
n3FA,0.0,0.0229,0.0116,2.8684e-20,1.2671e-06,NA,1.2816e-278,7.6391e-249,4.8262e-05,1.2242e-96,5.3420e-33,7.5185e-20,6.0339e-17,0.0065
DHA,7.6467e-121,0.0067,0.007,0.1414,0.2635,1.2816e-278,0.0,0.0,2.8486e-56,1.3030e-30,6.1283e-11,8.3115e-06,0.0996,0.0105
n3FA.Total.FA,0.0,0.0007,0.0016,0.1333,0.0071,7.6391e-249,0.0,0.0,2.0742e-87,1.1619e-07,0.0099,0.1147,0.6334,0.0047
DHA.Total.FA,3.3287e-16,1.7066e-119,4.0794e-141,5.3726e-14,0.0341,4.8262e-05,2.8486e-56,2.0742e-87,0.0,0.1404,3.0929e-05,1.0871e-08,1.1796e-25,1.1819e-122
PUFA,1.2076e-10,0.0192,2.9381e-07,2.6328e-10,0.1899,1.2242e-96,1.3030e-30,1.1619e-07,0.1404,0.0,0.0,1.4449e-15,5.6298e-23,9.8388e-09
n6FA,0.0002,1.9895e-05,4.0475e-08,5.0324e-07,0.5165,5.3420e-33,6.1283e-11,0.0099,3.0929e-05,0.0,0.0,8.0315e-151,6.4705e-96,4.9746e-09
LA,0.0044,4.2241e-07,4.1556e-09,7.5634e-06,0.9045,7.5185e-20,8.3115e-06,0.1147,1.0871e-08,1.4449e-15,8.0315e-151,0.0,4.1738e-133,3.6520e-10
MUFA,0.0002,5.3916e-157,1.2902e-240,1.3461e-110,5.1524e-08,6.0339e-17,0.0996,0.6334,1.1796e-25,5.6298e-23,6.4705e-96,4.1738e-133,0.0,2.5437e-292
MUFA.Total.FA,0.6451,0.0,0.0,8.5838e-186,9.8587e-11,0.0065,0.0105,0.0047,1.1819e-122,9.8388e-09,4.9746e-09,3.6520e-10,2.5437e-292,0.0
