,n6.n3,PUFA.Total.FA,PUFA.MUFA,n6FA.Total.FA,LA.Total.FA,n3FA,DHA,n3FA.Total.FA,DHA.Total.FA,PUFA,n6FA,LA,MUFA,MUFA.Total.FA
n6.n3,1.0,0.0262,0.0329,0.3947,0.4078,-0.9273,-0.8883,-0.9554,-0.5668,-0.5202,-0.3555,-0.2744,-0.299,-0.0452
PUFA.Total.FA,0.0262,1.0,0.9794,0.8557,0.6637,-0.207,0.2382,0.2706,0.7586,-0.32,-0.4229,-0.5042,-0.8493,-0.9414
PUFA.MUFA,0.0329,0.9794,NA,0.8853,0.5785,-0.2284,0.2314,0.2556,0.771,-0.4366,-0.4924,-0.5357,-0.8856,-0.991
n6FA.Total.FA,0.3947,0.8557,0.8853,0.9999,0.787,-0.5389,-0.127,-0.1077,0.4622,-0.5908,-0.5617,-0.5086,-0.8768,-0.86
LA.Total.FA,0.4078,0.6637,0.5785,0.787,1.0,-0.3708,-0.0986,-0.1823,0.1758,-0.1841,-0.0963,0.0169,-0.4778,-0.5116
n3FA,-0.9273,-0.207,-0.2284,-0.5389,-0.3708,NA,0.8781,0.8354,0.343,0.7966,0.6712,0.5974,0.5641,0.2438
DHA,-0.8883,0.2382,0.2314,-0.127,-0.0986,0.8781,1.0,0.927,0.7266,0.5828,0.4405,0.3496,0.1532,-0.2179
n3FA.Total.FA,-0.9554,0.2706,0.2556,-0.1077,-0.1823,0.8354,0.927,1.0,0.7737,0.3775,0.2095,0.1294,0.0388,-0.2322
DHA.Total.FA,-0.5668,0.7586,0.771,0.4622,0.1758,0.343,0.7266,0.7737,1.0,-0.1012,-0.2469,-0.326,-0.5506,-0.759
PUFA,-0.5202,-0.32,-0.4366,-0.5908,-0.1841,0.7966,0.5828,0.3775,-0.1012,1.0,0.9638,0.8513,0.7514,0.463
n6FA,-0.3555,-0.4229,-0.4924,-0.5617,-0.0963,0.6712,0.4405,0.2095,-0.2469,0.9638,0.9999,0.9491,0.8125,0.5137
LA,-0.2744,-0.5042,-0.5357,-0.5086,0.0169,0.5974,0.3496,0.1294,-0.326,0.8513,0.9491,0.9999,0.8293,0.5595
MUFA,-0.299,-0.8493,-0.8856,-0.8768,-0.4778,0.5641,0.1532,0.0388,-0.5506,0.7514,0.8125,0.8293,0.9999,0.8896
MUFA.Total.FA,-0.0452,-0.9414,-0.991,-0.86,-0.5116,0.2438,-0.2179,-0.2322,-0.759,0.463,0.5137,0.5595,0.8896,1.0
