,n6.n3,PUFA.Total.FA,PUFA.MUFA,n6FA.Total.FA,LA.Total.FA,n3FA,DHA,n3FA.Total.FA,DHA.Total.FA,PUFA,n6FA,LA,MUFA,MUFA.Total.FA
n6.n3,1,0.0262,0.0329,0.3947,0.4078,-0.9273,-0.8883,-0.9554,-0.5668,-0.5202,-0.3555,-0.2744,-0.299,-0.0452
PUFA.Total.FA,0.003708633,1,0.9794,0.8557,0.6637,-0.207,0.2382,0.2706,0.7586,-0.32,-0.4229,-0.5042,-0.8493,-0.9414
PUFA.MUFA,-0.03942932,0.942951799,1,0.8853,0.5785,-0.2284,0.2314,0.2556,0.771,-0.4366,-0.4924,-0.5357,-0.8856,-0.991
n6FA.Total.FA,0.339988679,0.913980743,0.839051949,1,0.787,-0.5389,-0.127,-0.1077,0.4622,-0.5908,-0.5617,-0.5086,-0.8768,-0.86
LA.Total.FA,0.390567907,0.725783827,0.608921575,0.855382337,1,-0.3708,-0.0986,-0.1823,0.1758,-0.1841,-0.0963,0.0169,-0.4778,-0.5116
n3FA,-0.756508822,-0.043618052,-0.008746253,-0.411248108,-0.329561548,1,0.8781,0.8354,0.343,0.7966,0.6712,0.5974,0.5641,0.2438
DHA,-0.681237091,0.269625045,0.308326742,-0.095157521,-0.08533786,0.904435579,1,0.927,0.7266,0.5828,0.4405,0.3496,0.1532,-0.2179
n3FA.Total.FA,-0.792459007,0.291458578,0.32855451,-0.121753427,-0.24117953,0.862829284,0.883890771,1,0.7737,0.3775,0.2095,0.1294,0.0388,-0.2322
DHA.Total.FA,-0.58628442,0.60602879,0.651007791,0.257027972,0.048235406,0.609753348,0.830034496,0.876512707,1,-0.1012,-0.2469,-0.326,-0.5506,-0.759
PUFA,-0.318417406,-0.15206275,-0.173103641,-0.27430259,0.080885629,0.651994298,0.551111619,0.274700234,0.060720019,1,0.9638,0.8513,0.7514,0.463
n6FA,-0.132016379,-0.165341026,-0.201392628,-0.191158662,0.20154918,0.447123575,0.358887508,0.046205169,-0.124727883,0.969732188,1,0.9491,0.8125,0.5137
LA,-0.034411576,-0.131812018,-0.192942562,-0.116874149,0.331247762,0.344316964,0.26773054,-0.046904143,-0.187853803,0.921634023,0.976365717,1,0.8293,0.5595
MUFA,-0.175225506,-0.78368226,-0.793657327,-0.789183039,-0.435160318,0.398801876,0.0880412,-0.056518219,-0.4168309,0.679570573,0.673259073,0.637739145,1,0.8896
MUFA.Total.FA,0.035231492,-0.872500349,-0.967781642,-0.77980867,-0.541295974,0.016877457,-0.309803243,-0.295884111,-0.623533183,0.17036087,0.195538544,0.202328342,0.795038586,1
