,n6.n3,PUFA.Total.FA,PUFA.MUFA,n6FA.Total.FA,LA.Total.FA,n3FA,DHA,n3FA.Total.FA,DHA.Total.FA,PUFA,n6FA,LA,MUFA,MUFA.Total.FA
n6.n3,0,0.7868,0.7374,1.13E-08,5.02E-11,0,7.65E-121,0,3.33E-16,1.21E-10,0.0002,0.0044,0.0002,0.6451
PUFA.Total.FA,0.2358405,0,0,9.16E-30,2.31E-26,0.0229,0.0067,0.0007,1.71E-119,0.0192,0.0000199,0.000000422,5.39E-157,5.39E-157
PUFA.MUFA,1.9E-36,0,0,6.97E-185,1.48E-15,0.0116,0.007,0.0016,4.08E-141,0.000000294,4.05E-08,4.16E-09,1.29E-240,0
n6FA.Total.FA,0,0,0,0,1.08E-100,2.87E-20,0.1414,0.1333,5.37E-14,2.63E-10,0.000000503,0.00000756,1.35E-110,8.58E-186
LA.Total.FA,0,0,0,0,0,0.00000127,0.2635,0.0071,0.0341,0.1899,0.5165,0.9045,5.15E-08,9.86E-11
n3FA,0,3.19E-44,0.005178046,0,0,0,0.0000483,7.64E-249,0.0000483,1.22E-96,0.0099,7.52E-20,6.03E-17,0.0065
DHA,0,0,0,4.03E-204,1.99E-164,0,0,0,2.85E-56,1.3E-30,6.13E-11,0.00000831,0.0996,0.0105
n3FA.Total.FA,0,0,0,0,0,0,0,0,2.07E-87,0.000000116,0.0099,0.1147,0.6334,0.0047
DHA.Total.FA,0,0,0,0,1.08E-53,0,0,0,0,0.1404,0.0000309,1.09E-08,1.18E-25,1.18E-122
PUFA,0,0,0,0,7.19E-148,0,0,0,4.59E-84,0,0,1.44E-15,5.63E-23,9.84E-09
n6FA,0,0,0,0,0,0,0,2.06E-49,0,0,0,8.03E-151,6.47E-96,4.97E-09
LA,3.71E-28,0,0,1.52E-307,0,0,0,7.24E-51,0,0,0,0,4.17E-133,3.65E-10
MUFA,0,0,0,0,0,0,6.43E-175,4.57E-73,0,0,0,0,0,2.54E-292
MUFA.Total.FA,1.95E-29,0,0,0,0,6.84595E-08,0,0,0,0,0,0,0,0
