,n6.n3,PUFA.Total.FA,PUFA.MUFA,n6FA.Total.FA,LA.Total.FA,n3FA,DHA,n3FA.Total.FA,DHA.Total.FA,PUFA,n6FA,LA,MUFA,MUFA.Total.FA
n6.n3,9.7243e-06,0.097,0.0982,0.0691,0.0621,0.0157,0.038,0.0091,0.0695,0.0808,0.0943,0.0964,0.0807,0.0982
PUFA.Total.FA,0.097,2.0459e-05,0.0035,0.0755,0.0625,0.0909,0.0878,0.0799,0.0326,0.1366,0.0991,0.0997,0.0318,0.0096
PUFA.MUFA,0.0982,0.0035,NA,0.0305,0.0725,0.0906,0.0857,0.0811,0.0305,0.0851,0.0897,0.0911,0.0267,0.0019
n6FA.Total.FA,0.0691,0.0755,0.0305,4.5543e-05,0.0369,0.0584,0.0864,0.0717,0.0614,0.0935,0.1118,0.1136,0.0392,0.0296
LA.Total.FA,0.0621,0.0625,0.0725,0.0369,2.0833e-05,0.0765,0.0882,0.0677,0.083,0.1404,0.1485,0.1405,0.0877,0.0791
n3FA,0.0157,0.0909,0.0906,0.0584,0.0765,NA,0.0246,0.0248,0.0844,0.0382,0.0561,0.0655,0.0674,0.0895
DHA,0.038,0.0878,0.0857,0.0864,0.0882,0.0246,1.8300e-05,0.0237,0.046,0.0507,0.0674,0.0784,0.093,0.0852
n3FA.Total.FA,0.0091,0.0799,0.0811,0.0717,0.0677,0.0248,0.0237,1.6479e-05,0.039,0.0712,0.0812,0.082,0.0813,0.082
DHA.Total.FA,0.0695,0.0326,0.0305,0.0614,0.083,0.0844,0.046,0.039,1.1444e-05,0.0686,0.0592,0.057,0.0526,0.0322
PUFA,0.0808,0.1366,0.0851,0.0935,0.1404,0.0382,0.0507,0.0712,0.0686,4.0979e-05,0.0203,0.1067,0.0761,0.0808
n6FA,0.0943,0.0991,0.0897,0.1118,0.1485,0.0561,0.0674,0.0812,0.0592,0.0203,6.0980e-05,0.0363,0.0391,0.0878
LA,0.0964,0.0997,0.0911,0.1136,0.1405,0.0655,0.0784,0.082,0.057,0.1067,0.0363,7.3147e-05,0.0338,0.0893
MUFA,0.0807,0.0318,0.0267,0.0392,0.0877,0.0674,0.093,0.0813,0.0526,0.0761,0.0391,0.0338,5.9057e-05,0.0243
MUFA.Total.FA,0.0982,0.0096,0.0019,0.0296,0.0791,0.0895,0.0852,0.082,0.0322,0.0808,0.0878,0.0893,0.0243,1.9358e-05
